4/1/2019,0.9512,0.3434,0.1991,1.5029,0.1705,0.01927,0.000095,0.01198,0.3252,0.07051,0.8985,0.1562,0.4049,0.0207,0.3567,0.9864,0.09454,0.00117,0.1434,1.3271,0.04336,0.04199,0.2323,1.7433,1.3378,0.000058
5/1/2019,0.9348,0.3373,0.1964,1.5057,0.1715,0.01929,0.000094,0.01224,0.3228,0.07043,0.8832,0.154,0.4041,0.02073,0.3589,0.9819,0.0933,0.001138,0.1403,1.3316,0.04309,0.04233,0.2228,1.7292,1.3459,0.000058
6/1/2019,0.923,0.3443,0.1926,1.5009,0.1698,0.01914,0.000093,0.01229,0.3193,0.06894,0.8771,0.154,0.3994,0.02074,0.3543,0.9754,0.09115,0.001133,0.1413,1.3448,0.0425,0.04272,0.2289,1.6844,1.3287,0.000057
7/1/2019,0.9146,0.3469,0.1904,1.4687,0.1677,0.01906,0.000094,0.0121,0.3177,0.06878,0.875,0.152,0.3982,0.02072,0.3493,0.9622,0.09334,0.001112,0.1391,1.326,0.04215,0.04252,0.2313,1.6323,1.3101,0.000056
8/1/2019,0.8991,0.3301,0.188,1.4767,0.1693,0.01865,0.000093,0.0125,0.317,0.06742,0.8532,0.148,0.3928,0.02016,0.354,0.9587,0.08748,0.001097,0.1376,1.3557,0.04233,0.04318,0.2349,1.6141,1.3277,0.000057
9/1/2019,0.9022,0.3214,0.1861,1.4578,0.169,0.01856,0.000094,0.01231,0.3165,0.06772,0.8401,0.147,0.3947,0.02043,0.353,0.96,0.08929,0.001109,0.1364,1.3366,0.04261,0.04332,0.2322,1.6375,1.3241,0.000057
10/1/2019,0.8964,0.3229,0.1858,1.4583,0.1682,0.01857,0.000093,0.0122,0.315,0.06824,0.8356,0.1441,0.3926,0.0205,0.3517,0.9623,0.08843,0.001115,0.135,1.328,0.04298,0.04345,0.228,1.6684,1.319,0.000057
11/1/2019,0.9035,0.3184,0.1885,1.4627,0.1691,0.01852,0.000094,0.01216,0.3184,0.06846,0.847,0.1447,0.3927,0.02072,0.353,0.9721,0.08951,0.001133,0.1374,1.3328,0.04343,0.04378,0.2306,1.7058,1.3239,0.000057
12/1/2019,0.9066,0.3206,0.1878,1.464,0.1687,0.01851,0.000094,0.01208,0.3176,0.0689,0.8686,0.1458,0.3925,0.02093,0.3512,0.9708,0.09133,0.001121,0.1397,1.3405,0.04351,0.04361,0.2251,1.727,1.3172,0.000057
1/1/2020,0.8968,0.3154,0.189,1.4523,0.1684,0.01836,0.000096,0.01197,,0.0696,0.8639,0.1461,0.3933,0.02112,0.3488,0.9682,0.09073,0.001121,0.1376,1.3495,0.04356,,0.2208,1.7106,1.3087,
