STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DAY,MONTH,YEAR,DATE,TMAX,TMIN,Source: https://www.ncdc.noaa.gov/cdo-web/search
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,15,7,1916,7/15/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,16,7,1916,7/16/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,17,7,1916,7/17/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,18,7,1916,7/18/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,19,7,1916,7/19/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,20,7,1916,7/20/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,21,7,1916,7/21/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,22,7,1916,7/22/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,23,7,1916,7/23/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,24,7,1916,7/24/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,25,7,1916,7/25/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,26,7,1916,7/26/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,27,7,1916,7/27/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,28,7,1916,7/28/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,29,7,1916,7/29/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,30,7,1916,7/30/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,31,7,1916,7/31/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,1,8,1916,8/1/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,2,8,1916,8/2/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,3,8,1916,8/3/1916,,,
