year,month,decimal date,date,monthly_avg
2022,7,2022.5417,7/1/2022,418.85
2022,8,2022.625,8/1/2022,417.15
2022,9,2022.7083,9/1/2022,415.91
2022,10,2022.7917,10/1/2022,415.74
2022,11,2022.875,11/1/2022,417.47
2022,12,2022.9583,12/1/2022,418.99
2023,1,2023.0417,1/1/2023,419.48
2023,2,2023.125,2/1/2023,420.3
2023,3,2023.2083,3/1/2023,420.99
2023,4,2023.2917,4/1/2023,423.35
2023,5,2023.375,5/1/2023,424
2023,6,2023.4583,6/1/2023,423.68
2023,7,2023.5417,7/1/2023,421.83
2023,8,2023.625,8/1/2023,419.68
2023,9,2023.7083,9/1/2023,418.51
2023,10,2023.7917,10/1/2023,418.82
2023,11,2023.875,11/1/2023,420.46
2023,12,2023.9583,12/1/2023,421.86
2024,1,2024.0417,1/1/2024,422.8
2024,2,2024.125,2/1/2024,424.55
