date,ind_prod_indx
9/1/1938,6.7745
10/1/1938,6.9626
11/1/1938,7.0971
12/1/1938,6.9089
1/1/1939,7.0971
2/1/1939,7.0971
3/1/1939,7.0971
4/1/1939,6.9626
5/1/1939,6.9895
6/1/1939,7.2315
7/1/1939,7.3659
8/1/1939,7.4734
9/1/1939,8.038
10/1/1939,8.5487
11/1/1939,8.7907
12/1/1939,8.7369
1/1/1940,8.6025
2/1/1940,8.253
3/1/1940,8.038
4/1/1940,8.0917
5/1/1940,8.3606
6/1/1940,8.71
7/1/1940,8.7369
8/1/1940,8.8444
9/1/1940,9.1402
10/1/1940,9.3552
11/1/1940,9.5972
12/1/1940,9.866
1/1/1941,10.0811
2/1/1941,10.2961
3/1/1941,10.5649
4/1/1941,10.5112
5/1/1941,11.022
6/1/1941,11.2101
7/1/1941,11.237
8/1/1941,11.4252
9/1/1941,11.5327
10/1/1941,11.694
11/1/1941,11.7747
12/1/1941,11.9091
1/1/1942,12.1241
2/1/1942,12.2854
3/1/1942,12.393
4/1/1942,11.9897
5/1/1942,12.0435
6/1/1942,12.151
7/1/1942,12.3661
8/1/1942,12.7962
9/1/1942,13.0919
10/1/1942,13.5489
11/1/1942,13.8715
12/1/1942,14.1672
1/1/1943,14.3285
2/1/1943,14.678
3/1/1943,14.8393
4/1/1943,15.0006
5/1/1943,15.135
6/1/1943,15.135
7/1/1943,15.4307
8/1/1943,15.7802
9/1/1943,16.1028
10/1/1943,16.3448
11/1/1943,16.506
12/1/1943,16.2641
1/1/1944,16.5867
2/1/1944,16.8018
3/1/1944,16.8286
4/1/1944,16.8286
5/1/1944,16.8018
6/1/1944,16.8286
7/1/1944,16.5867
8/1/1944,16.748
9/1/1944,16.506
10/1/1944,16.506
11/1/1944,16.3716
12/1/1944,16.2641
1/1/1945,16.291
2/1/1945,16.3448
3/1/1945,16.291
4/1/1945,16.0222
5/1/1945,15.6727
6/1/1945,15.377
7/1/1945,14.8393
8/1/1945,13.2532
9/1/1945,12.0166
10/1/1945,11.479
11/1/1945,11.9091
12/1/1945,11.8822
1/1/1946,11.3714
2/1/1946,10.8607
3/1/1946,12.0166
4/1/1946,11.7747
5/1/1946,11.3445
6/1/1946,12.1241
7/1/1946,12.393
8/1/1946,12.85
9/1/1946,13.0919
10/1/1946,13.2532
11/1/1946,13.307
12/1/1946,13.2801
1/1/1947,13.5489
2/1/1947,13.8178
3/1/1947,13.8715
4/1/1947,13.6027
5/1/1947,13.5221
6/1/1947,13.6296
7/1/1947,12.85
8/1/1947,13.8178
9/1/1947,14.1672
10/1/1947,14.5705
11/1/1947,14.4629
12/1/1947,14.1941
1/1/1948,14.2748
2/1/1948,14.4361
3/1/1948,14.221
4/1/1948,14.0866
5/1/1948,14.1941
6/1/1948,14.4629
7/1/1948,13.8178
8/1/1948,14.6242
9/1/1948,14.8662
10/1/1948,15.1888
11/1/1948,14.678
12/1/1948,14.221
1/1/1949,14.0597
2/1/1949,14.0866
3/1/1949,13.8178
4/1/1949,13.5221
5/1/1949,13.2532
6/1/1949,13.307
7/1/1949,12.6349
8/1/1949,13.7102
9/1/1949,14.0597
10/1/1949,13.764
11/1/1949,13.7102
12/1/1949,13.6296
1/1/1950,13.9791
2/1/1950,14.1672
3/1/1950,14.6242
4/1/1950,14.9737
5/1/1950,15.1081
6/1/1950,15.6996
7/1/1950,15.2426
8/1/1950,16.9631
9/1/1950,17.0975
10/1/1950,17.5545
11/1/1950,16.9631
12/1/1950,16.9362
1/1/1951,17.0437
2/1/1951,17.4201
3/1/1951,17.5545
4/1/1951,17.3663
5/1/1951,17.0706
6/1/1951,17.2588
7/1/1951,15.9953
8/1/1951,16.8555
9/1/1951,17.2588
10/1/1951,17.3932
11/1/1951,17.1781
12/1/1951,16.9362
1/1/1952,17.205
2/1/1952,17.6082
3/1/1952,17.7158
4/1/1952,17.2588
5/1/1952,16.9631
6/1/1952,17.0168
7/1/1952,15.7802
8/1/1952,17.7695
9/1/1952,18.7642
10/1/1952,19.1406
11/1/1952,19.1406
12/1/1952,18.8448
1/1/1953,19.033
2/1/1953,19.5438
3/1/1953,19.7857
4/1/1953,19.5976
5/1/1953,19.5976
6/1/1953,19.6513
7/1/1953,18.6836
8/1/1953,19.5976
9/1/1953,19.49
10/1/1953,19.5976
11/1/1953,18.6836
12/1/1953,17.9308
1/1/1954,18.0115
2/1/1954,18.2803
3/1/1954,18.1997
4/1/1954,17.9846
5/1/1954,18.0115
6/1/1954,18.2265
7/1/1954,17.1512
8/1/1954,18.0115
9/1/1954,18.3878
10/1/1954,18.7911
11/1/1954,18.8448
12/1/1954,18.7642
1/1/1955,19.2212
2/1/1955,19.732
3/1/1955,20.189
4/1/1955,20.3503
5/1/1955,20.5116
6/1/1955,20.7535
7/1/1955,19.5976
8/1/1955,20.5922
9/1/1955,21.103
10/1/1955,21.7482
11/1/1955,21.5331
12/1/1955,21.2105
1/1/1956,21.2643
2/1/1956,21.4794
3/1/1956,21.5062
4/1/1956,21.6407
5/1/1956,21.3181
6/1/1956,21.4256
7/1/1956,19.3825
8/1/1956,21.2105
9/1/1956,21.9901
10/1/1956,22.4203
11/1/1956,21.9901
12/1/1956,21.7751
1/1/1957,21.7751
2/1/1957,22.3127
3/1/1957,22.3396
4/1/1957,21.8826
5/1/1957,21.7213
6/1/1957,22.1783
7/1/1957,20.8611
8/1/1957,22.0708
9/1/1957,22.1246
10/1/1957,21.9901
11/1/1957,21.2105
12/1/1957,20.2965
1/1/1958,20.0277
2/1/1958,19.8126
3/1/1958,19.5976
4/1/1958,19.2212
5/1/1958,19.3287
6/1/1958,20.2428
7/1/1958,19.275
8/1/1958,20.6191
9/1/1958,21.3181
10/1/1958,21.5331
11/1/1958,21.8289
12/1/1958,21.3718
1/1/1959,21.7482
2/1/1959,22.4203
3/1/1959,22.9042
4/1/1959,23.3343
5/1/1959,23.6031
6/1/1959,24.0601
7/1/1959,22.0977
8/1/1959,22.2321
9/1/1959,22.6622
10/1/1959,22.6891
11/1/1959,22.3396
12/1/1959,23.1461
1/1/1960,23.8182
2/1/1960,23.9526
3/1/1960,23.8988
4/1/1960,23.7106
5/1/1960,23.6569
6/1/1960,23.7106
7/1/1960,22.2859
8/1/1960,23.0386
9/1/1960,23.388
10/1/1960,23.4956
11/1/1960,22.6622
12/1/1960,21.6676
1/1/1961,21.7751
2/1/1961,22.017
3/1/1961,22.3127
4/1/1961,22.8773
5/1/1961,23.2267
6/1/1961,23.8988
7/1/1961,22.6891
8/1/1961,23.8451
9/1/1961,24.4096
10/1/1961,24.9741
11/1/1961,24.7591
12/1/1961,24.3827
1/1/1962,24.1945
2/1/1962,24.9472
3/1/1962,25.3236
4/1/1962,25.4311
5/1/1962,25.4311
6/1/1962,25.7806
7/1/1962,24.4902
8/1/1962,25.2699
9/1/1962,26.2376
10/1/1962,26.3452
11/1/1962,25.8613
12/1/1962,25.2161
1/1/1963,25.4311
2/1/1963,26.2645
3/1/1963,26.614
4/1/1963,26.829
5/1/1963,27.0979
6/1/1963,27.6086
7/1/1963,25.7806
8/1/1963,26.5333
9/1/1963,27.7162
10/1/1963,28.1732
11/1/1963,27.6624
12/1/1963,26.8828
1/1/1964,27.2323
2/1/1964,28.0388
3/1/1964,28.1732
4/1/1964,28.6302
5/1/1964,28.7646
6/1/1964,29.2216
7/1/1964,27.5011
8/1/1964,28.5764
9/1/1964,29.7324
10/1/1964,29.4904
11/1/1964,29.6786
12/1/1964,29.3023
1/1/1965,29.7862
2/1/1965,30.5658
3/1/1965,31.211
4/1/1965,31.211
5/1/1965,31.4529
6/1/1965,32.2056
7/1/1965,30.4582
8/1/1965,31.3991
9/1/1965,32.4476
10/1/1965,33.2003
11/1/1965,32.6626
12/1/1965,32.125
1/1/1966,32.582
2/1/1966,33.496
3/1/1966,34.1681
4/1/1966,34.1143
5/1/1966,34.3562
6/1/1966,35.1358
7/1/1966,32.9583
8/1/1966,34.1412
9/1/1966,35.7273
10/1/1966,36.1036
11/1/1966,35.1358
12/1/1966,34.2487
1/1/1967,34.4638
2/1/1967,34.8192
3/1/1967,34.7659
4/1/1967,34.9632
5/1/1967,34.6787
6/1/1967,35.472
7/1/1967,33.1386
8/1/1967,34.9547
9/1/1967,35.9772
10/1/1967,36.2031
11/1/1967,36.0685
12/1/1967,35.4473
1/1/1968,35.5189
2/1/1968,36.445
3/1/1968,36.7709
4/1/1968,36.5803
5/1/1968,37.0994
6/1/1968,38.0673
7/1/1968,35.6363
8/1/1968,36.7027
9/1/1968,38.1639
10/1/1968,38.2997
11/1/1968,38.1201
12/1/1968,37.0292
1/1/1969,37.3882
2/1/1969,38.5127
3/1/1969,39.0059
4/1/1969,38.6546
5/1/1969,38.5701
6/1/1969,39.8151
7/1/1969,37.4394
8/1/1969,38.9124
9/1/1969,40.1235
10/1/1969,40.0817
11/1/1969,38.9268
12/1/1969,37.6221
1/1/1970,37.0388
2/1/1970,37.9635
3/1/1970,38.0655
4/1/1970,37.7979
5/1/1970,37.8158
6/1/1970,38.5847
7/1/1970,36.3348
8/1/1970,37.5353
9/1/1970,38.3679
10/1/1970,37.4827
11/1/1970,36.472
12/1/1970,36.1308
1/1/1971,36.5938
2/1/1971,37.5464
3/1/1971,37.6075
4/1/1971,37.6722
5/1/1971,37.9384
6/1/1971,38.9436
7/1/1971,36.4121
8/1/1971,37.6503
9/1/1971,39.3698
10/1/1971,39.5676
11/1/1971,38.8202
12/1/1971,37.7703
1/1/1972,39.0597
2/1/1972,40.2738
3/1/1972,40.7244
4/1/1972,41.2676
5/1/1972,41.3129
6/1/1972,42.3139
7/1/1972,39.7965
8/1/1972,41.498
9/1/1972,43.0976
10/1/1972,43.7973
11/1/1972,43.6008
12/1/1972,42.9737
1/1/1973,42.9876
2/1/1973,44.5441
3/1/1973,44.7506
4/1/1973,44.5717
5/1/1973,44.9784
6/1/1973,46.0423
7/1/1973,43.8688
8/1/1973,44.5721
9/1/1973,46.308
10/1/1973,46.7908
11/1/1973,46.3402
12/1/1973,44.9426
1/1/1974,44.4475
2/1/1974,45.1811
3/1/1974,45.4441
4/1/1974,44.8716
5/1/1974,45.7296
6/1/1974,46.6479
7/1/1974,44.4204
8/1/1974,44.9254
9/1/1974,46.0711
10/1/1974,46.0241
11/1/1974,43.8456
12/1/1974,41.5112
1/1/1975,40.5474
2/1/1975,40.3829
3/1/1975,40.0078
4/1/1975,40.1185
5/1/1975,39.9436
6/1/1975,41.1166
7/1/1975,39.3792
8/1/1975,40.9642
9/1/1975,42.3113
10/1/1975,42.5128
11/1/1975,42.0335
12/1/1975,41.7684
1/1/1976,42.1041
2/1/1976,43.3739
3/1/1976,43.69
4/1/1976,43.3359
5/1/1976,44.0732
6/1/1976,45.052
7/1/1976,42.9288
8/1/1976,44.1525
9/1/1976,45.1611
10/1/1976,45.4114
11/1/1976,45.4162
12/1/1976,45.1147
1/1/1977,44.6139
2/1/1977,46.221
3/1/1977,47.1508
4/1/1977,47.1481
5/1/1977,47.727
6/1/1977,49.1488
7/1/1977,46.7518
8/1/1977,47.4834
9/1/1977,48.7961
10/1/1977,49.1056
11/1/1977,48.4083
12/1/1977,47.7742
1/1/1978,46.9161
2/1/1978,48.1972
3/1/1978,49.3014
4/1/1978,50.3118
5/1/1978,50.2222
6/1/1978,51.6009
7/1/1978,48.9757
8/1/1978,50.0926
9/1/1978,51.385
10/1/1978,51.9936
11/1/1978,51.5554
12/1/1978,51.1545
1/1/1979,50.5043
2/1/1979,51.9666
3/1/1979,52.6675
4/1/1979,51.0316
5/1/1979,51.8916
6/1/1979,52.9031
7/1/1979,50.3515
8/1/1979,51.0692
9/1/1979,52.0605
10/1/1979,52.4173
11/1/1979,51.6531
12/1/1979,51.2042
1/1/1980,51.1617
2/1/1980,52.1586
3/1/1980,52.4247
4/1/1980,50.6198
5/1/1980,49.2902
6/1/1980,49.5948
7/1/1980,47.2088
8/1/1980,48.6997
9/1/1980,50.0973
10/1/1980,50.6558
11/1/1980,50.9263
12/1/1980,50.8415
1/1/1981,50.4792
2/1/1981,51.0315
3/1/1981,51.6399
4/1/1981,50.5605
5/1/1981,50.8768
6/1/1981,52.0622
7/1/1981,50.4564
8/1/1981,51.5949
9/1/1981,51.6196
10/1/1981,51.4034
11/1/1981,50.316
12/1/1981,49.5723
1/1/1982,48.6863
2/1/1982,50.1996
3/1/1982,49.959
4/1/1982,48.7326
5/1/1982,48.3379
6/1/1982,49.1503
7/1/1982,47.3147
8/1/1982,48.0167
9/1/1982,48.2286
10/1/1982,47.7769
11/1/1982,47.0555
12/1/1982,46.4528
1/1/1983,47.7209
2/1/1983,47.8706
3/1/1983,48.3905
4/1/1983,48.2885
5/1/1983,48.4201
6/1/1983,49.755
7/1/1983,48.713
8/1/1983,50.3584
9/1/1983,51.6359
10/1/1983,51.9048
11/1/1983,51.384
12/1/1983,51.3318
1/1/1984,53.0144
2/1/1984,53.7529
3/1/1984,54.1594
4/1/1984,53.7532
5/1/1984,53.7169
6/1/1984,55.0276
7/1/1984,53.193
8/1/1984,54.5076
9/1/1984,55.0235
10/1/1984,54.6607
11/1/1984,54.1576
12/1/1984,53.9158
1/1/1985,54.4739
2/1/1985,55.2577
3/1/1985,55.3269
4/1/1985,54.3466
5/1/1985,54.3112
6/1/1985,55.5231
7/1/1985,53.184
8/1/1985,54.7076
9/1/1985,55.4969
10/1/1985,54.9563
11/1/1985,54.4207
12/1/1985,54.8244
1/1/1986,55.7247
2/1/1986,55.8567
3/1/1986,55.1239
4/1/1986,54.9124
5/1/1986,54.5468
6/1/1986,55.685
7/1/1986,53.8
8/1/1986,55.3321
9/1/1986,55.9432
10/1/1986,55.78
11/1/1986,55.2966
12/1/1986,55.4829
1/1/1987,55.9518
2/1/1987,57.2742
3/1/1987,57.3105
4/1/1987,56.6027
5/1/1987,57.107
6/1/1987,58.8466
7/1/1987,56.9331
8/1/1987,59.1506
9/1/1987,59.4884
10/1/1987,60.1995
11/1/1987,59.6931
12/1/1987,59.5135
1/1/1988,60.2048
2/1/1988,60.9241
3/1/1988,60.9985
4/1/1988,60.5271
5/1/1988,60.4958
6/1/1988,62.2734
7/1/1988,59.9082
8/1/1988,61.9495
9/1/1988,62.2281
10/1/1988,62.2074
11/1/1988,61.3793
12/1/1988,61.0967
1/1/1989,61.8634
2/1/1989,62.108
3/1/1989,61.8307
4/1/1989,61.9385
5/1/1989,61.0838
6/1/1989,62.7467
7/1/1989,59.73
8/1/1989,62.3055
9/1/1989,62.4194
10/1/1989,62.0771
11/1/1989,61.3623
12/1/1989,61.3765
1/1/1990,61.3667
2/1/1990,62.2834
3/1/1990,62.6189
4/1/1990,61.3501
5/1/1990,61.9771
6/1/1990,63.8628
7/1/1990,61.4756
8/1/1990,63.6004
9/1/1990,64.0747
10/1/1990,63.1889
11/1/1990,61.513
12/1/1990,60.6599
1/1/1991,60.9473
2/1/1991,60.7217
3/1/1991,60.0476
4/1/1991,60.0565
5/1/1991,60.4535
6/1/1991,62.7318
7/1/1991,60.4711
8/1/1991,62.6503
9/1/1991,63.3253
10/1/1991,62.8694
11/1/1991,61.7404
12/1/1991,60.9282
1/1/1992,61.1555
2/1/1992,62.0247
3/1/1992,62.6925
4/1/1992,62.0599
5/1/1992,62.5592
6/1/1992,64.2547
7/1/1992,62.2707
8/1/1992,64.2402
9/1/1992,64.4188
10/1/1992,64.7534
11/1/1992,64.2181
12/1/1992,63.8552
1/1/1993,64.2052
2/1/1993,65.1203
3/1/1993,65.1528
4/1/1993,64.1836
5/1/1993,64.2097
6/1/1993,66.0497
7/1/1993,63.7967
8/1/1993,65.9925
9/1/1993,66.31
10/1/1993,66.5319
11/1/1993,66.0399
12/1/1993,65.8268
1/1/1994,66.4053
2/1/1994,66.9977
3/1/1994,67.7909
4/1/1994,67.0476
5/1/1994,67.4886
6/1/1994,69.8265
7/1/1994,67.0169
8/1/1994,70.0574
9/1/1994,70.601
10/1/1994,70.701
11/1/1994,70.3127
12/1/1994,70.4219
1/1/1995,70.6181
2/1/1995,71.3821
3/1/1995,71.8122
4/1/1995,69.9375
5/1/1995,70.5607
6/1/1995,73.0421
7/1/1995,69.8608
8/1/1995,73.4125
9/1/1995,74.0583
10/1/1995,73.1787
11/1/1995,72.5885
12/1/1995,72.4277
1/1/1996,71.9046
2/1/1996,73.6809
3/1/1996,74.0063
4/1/1996,73.1049
5/1/1996,73.6984
6/1/1996,76.7041
7/1/1996,73.4097
8/1/1996,76.8701
9/1/1996,77.9069
10/1/1996,77.033
11/1/1996,76.9309
12/1/1996,76.8038
1/1/1997,76.8787
2/1/1997,78.5071
3/1/1997,79.3018
4/1/1997,78.4217
5/1/1997,78.4803
6/1/1997,80.9155
7/1/1997,77.7109
8/1/1997,82.0513
9/1/1997,83.4705
10/1/1997,83.5629
11/1/1997,83.8832
12/1/1997,83.7038
1/1/1998,83.3294
2/1/1998,84.4655
3/1/1998,85.2244
4/1/1998,83.1794
5/1/1998,84.4041
6/1/1998,85.7141
7/1/1998,82.5324
8/1/1998,87.1463
9/1/1998,86.8684
10/1/1998,87.5765
11/1/1998,86.6971
12/1/1998,86.5581
1/1/1999,86.5939
2/1/1999,87.6055
3/1/1999,88.9113
4/1/1999,87.0385
5/1/1999,87.8815
6/1/1999,90.1897
7/1/1999,86.5218
8/1/1999,90.7517
9/1/1999,90.2844
10/1/1999,91.3247
11/1/1999,90.7013
12/1/1999,90.748
1/1/2000,90.5061
2/1/2000,91.2816
3/1/2000,92.8814
4/1/2000,91.6286
5/1/2000,91.9385
6/1/2000,94.8836
7/1/2000,90.4325
8/1/2000,93.8966
9/1/2000,94.3781
10/1/2000,93.5874
11/1/2000,92.5107
12/1/2000,92.0158
1/1/2001,90.9
2/1/2001,90.9883
3/1/2001,91.9122
4/1/2001,88.8615
5/1/2001,89.6062
6/1/2001,91.7371
7/1/2001,87.4437
8/1/2001,90.89
9/1/2001,90.105
10/1/2001,89.082
11/1/2001,87.5353
12/1/2001,87.0587
1/1/2002,87.5119
2/1/2002,88.1332
3/1/2002,89.5612
4/1/2002,88.7311
5/1/2002,89.1922
6/1/2002,92.8129
7/1/2002,88.3305
8/1/2002,92.3919
9/1/2002,92.286
10/1/2002,91.1892
11/1/2002,90.2145
12/1/2002,89.3875
1/1/2003,90.1052
2/1/2003,91.0182
3/1/2003,91.6836
4/1/2003,89.156
5/1/2003,89.7015
6/1/2003,92.4864
7/1/2003,88.5305
8/1/2003,92.7471
9/1/2003,93.0069
10/1/2003,92.2083
11/1/2003,91.7819
12/1/2003,91.2806
1/1/2004,91.1328
2/1/2004,92.8205
3/1/2004,93.1477
4/1/2004,91.4898
5/1/2004,92.8838
6/1/2004,95.0293
7/1/2004,92.036
8/1/2004,95.5119
9/1/2004,94.9284
10/1/2004,95.1959
11/1/2004,94.2078
12/1/2004,94.5538
1/1/2005,94.8054
2/1/2005,95.9364
3/1/2005,96.3952
4/1/2005,95.7346
5/1/2005,96.001
6/1/2005,99.3421
7/1/2005,95.6929
8/1/2005,99.1638
9/1/2005,96.7853
10/1/2005,96.9658
11/1/2005,96.686
12/1/2005,97.0642
1/1/2006,96.512
2/1/2006,97.2392
3/1/2006,98.5192
4/1/2006,96.6963
5/1/2006,98.0392
6/1/2006,101.4428
7/1/2006,98.4227
8/1/2006,101.8113
9/1/2006,100.8286
10/1/2006,99.6608
11/1/2006,98.4565
12/1/2006,99.4405
1/1/2007,98.371
2/1/2007,99.8623
3/1/2007,100.9545
4/1/2007,100.0868
5/1/2007,101.0021
6/1/2007,104.0021
7/1/2007,100.7569
8/1/2007,104.0407
9/1/2007,103.5276
10/1/2007,101.9171
11/1/2007,101.4279
12/1/2007,101.5249
1/1/2008,100.8856
2/1/2008,100.6713
3/1/2008,100.9975
4/1/2008,99.6725
5/1/2008,99.3286
6/1/2008,101.9726
7/1/2008,99.282
8/1/2008,99.9642
9/1/2008,94.8727
10/1/2008,94.5946
11/1/2008,92.5679
12/1/2008,90.4904
1/1/2009,87.9467
2/1/2009,87.1993
3/1/2009,86.263
4/1/2009,83.9539
5/1/2009,84.1502
6/1/2009,86.3469
7/1/2009,85.805
8/1/2009,88.8373
9/1/2009,88.0888
10/1/2009,87.6828
11/1/2009,87.3478
12/1/2009,88.0883
1/1/2010,88.9571
2/1/2010,89.0055
3/1/2010,90.0797
4/1/2010,89.1034
5/1/2010,90.861
6/1/2010,93.6368
7/1/2010,92.064
8/1/2010,94.6572
9/1/2010,93.5644
10/1/2010,92.6289
11/1/2010,91.7514
12/1/2010,93.1461
1/1/2011,93.0578
2/1/2011,92.2802
3/1/2011,93.909
4/1/2011,92.1089
5/1/2011,92.824
6/1/2011,95.6271
7/1/2011,94.5853
8/1/2011,97.007
9/1/2011,95.9406
10/1/2011,95.7063
11/1/2011,95.0555
12/1/2011,95.9401
1/1/2012,96.3478
2/1/2012,96.5849
3/1/2012,96.6736
4/1/2012,95.827
5/1/2012,96.604
6/1/2012,99.0599
7/1/2012,97.6008
8/1/2012,99.2481
9/1/2012,98.2294
10/1/2012,97.3774
11/1/2012,97.3133
12/1/2012,97.7875
1/1/2013,97.8708
2/1/2013,98.1574
3/1/2013,98.8083
4/1/2013,97.8565
5/1/2013,98.0694
6/1/2013,100.7508
7/1/2013,98.9001
8/1/2013,101.5454
9/1/2013,100.9664
10/1/2013,99.8313
11/1/2013,99.577
12/1/2013,99.8212
1/1/2014,99.7508
2/1/2014,100.3808
3/1/2014,101.8484
4/1/2014,100.4255
5/1/2014,101.2912
6/1/2014,104.1438
7/1/2014,102.377
8/1/2014,104.8088
9/1/2014,103.948
10/1/2014,102.9014
11/1/2014,103.0942
12/1/2014,102.9787
1/1/2015,102.4003
2/1/2015,101.9733
3/1/2015,101.93
4/1/2015,99.6549
5/1/2015,99.8644
6/1/2015,102.2761
7/1/2015,101.0625
8/1/2015,103.3018
9/1/2015,101.0685
10/1/2015,100.1005
11/1/2015,98.7864
12/1/2015,98.15
1/1/2016,99.0562
2/1/2016,98.5183
3/1/2016,97.6405
4/1/2016,97.1874
5/1/2016,97.1075
6/1/2016,100.4165
7/1/2016,98.6913
8/1/2016,100.909
9/1/2016,99.4541
10/1/2016,98.8479
11/1/2016,97.749
12/1/2016,98.7885
1/1/2017,98.7005
