month,permits_total,permits_single_family,starts_total,starts_single_family,completions_total,completions_single_family,comments
Feb 2015,78.6,44.2,61.1,39.9,59.3,41.8,
Mar 2015,92.5,58.4,79.0,52.2,60.5,44.7,
Apr 2015,106.0,65.2,107.6,68.6,77.1,53.3,
May 2015,111.9,63.2,98.8,65.8,83.9,54.2,
Jun 2015,134.8,71.0,111.3,68.3,85.4,55.7,
Jul 2015,103.2,65.9,106.3,70.9,86.3,52.1,
Aug 2015,98.4,62.0,98.7,66.0,92.1,58.6,
Sep 2015,98.3,60.3,110.3,63.7,92.6,58.0,
Oct 2015,99.3,60.3,90.1,58.1,89.5,60.0,
Nov 2015,91.0,50.0,89.2,56.2,80.9,55.2,
Dec 2015,97.5,51.3,77.2,49.3,95.6,69.0,
Jan 2016,76.2,46.2,73.7,49.6,72.5,46.7,
Feb 2016,86.3,53.6,83.3,57.2,71.2,51.4,
Mar 2016,99.8,68.1,89.2,60.6,78.8,55.4,
Apr 2016,101.9,68.4,105.5,71.8,73.8,55.6,
May 2016,110.3,70.6,103.4,68.6,83.5,60.2,
Jun 2016,117.6,75.0,110.5,73.9,97.9,65.9,
Jul 2016,97.9,61.2,114.3,71.8,93.4,61.2,
Aug 2016,111.6,71.3,101.8,65.5,98.0,66.0,
Sep 2016,111.7,63.4,93.1,65.4,90.2,63.7,
Oct 2016,104.0,61.6,113.5,72.4,96.7,70.0,
Nov 2016,94.5,55.9,86.9,59.7,100.0,67.3,
Dec 2016,94.8,55.5,86.0,52.4,103.6,75.0,
Jan 2017,90.6,53.7,81.6,52.4,74.6,55.0,
Feb 2017,86.9,57.8,87.2,58.1,78.9,52.7,
Mar 2017,115.3,77.1,95.7,68.1,92.0,62.4,
Apr 2017,105.0,69.3,104.8,76.5,83.4,60.1,
May 2017,115.3,78.4,105.3,76.1,98.1,66.9,
Jun 2017,130.8,81.8,114.8,82.4,109.9,71.3,
Jul 2017,102.9,69.2,111.4,78.5,102.2,69.4,
Aug 2017,122.1,76.6,101.2,76.7,102.1,65.6,
Sep 2017,103.3,66.6,103.4,71.5,96.2,68.2,
Oct 2017,116.3,71.0,108.7,74.7,106.9,73.3,
Nov 2017,98.8,62.0,97.2,68.4,95.1,68.1,
Dec 2017,94.8,56.5,80.5,54.1,113.4,82.4,
Jan 2018,98.4,61.8,90.5,58.8,84.0,59.8,
Feb 2018,93.4,62.2,89.4,62.0,88.6,61.3,
Mar 2018,119.4,75.9,105.8,71.2,94.9,67.1,
Apr 2018,121.5,79.2,117.0,84.6,94.7,61.0,
May 2018,126.9,84.5,122.8,87.8,105.7,74.1,
Jun 2018,123.3,81.8,110.8,82.3,108.6,75.6,
Jul 2018,114.5,77.9,110.7,80.7,101.9,67.6,
Aug 2018,118.2,78.6,113.4,80.4,113.9,83.6,
Sep 2018,100.4,65.1,108.7,74.1,100.9,72.7,
Oct 2018,113.9,74.0,105.5,74.7,100.2,75.5,
Nov 2018,102.3,61.0,90.6,57.9,91.9,66.9,
Dec 2018,96.6,53.4,75.3,51.9,99.6,74.9,
Jan 2019,96.0,58.3,86.2,63.3,87.2,64.2,
Feb 2019,91.2,57.8,79.0,53.8,92.1,57.6,
Mar 2019,107.8,69.6,97.2,68.8,104.9,75.2,
Apr 2019,121.2,76.5,116.2,81.1,103.4,72.4,
May 2019,127.0,81.6,117.4,76.9,103.3,74.6,
Jun 2019,113.8,76.2,113.9,81.8,103.9,76.9,
Jul 2019,121.9,79.4,113.8,83.4,108.5,75.9,
Aug 2019,131.5,80.4,120.3,80.2,116.8,83.3,
Sep 2019,118.3,71.9,112.2,77.6,96.3,72.9,
Oct 2019,135.8,81.2,114.0,76.0,114.1,84.0,
Nov 2019,111.0,65.0,102.7,67.3,101.4,78.7,
Dec 2019,110.7,64.2,107.0,67.6,123.1,87.6,
Jan 2020,116.4,71.6,112.7,67.0,90.2,62.5,
Feb 2020,102.9,71.9,111.4,72.8,90.8,70.8,
Mar 2020,119.0,79.2,104.2,73.7,101.7,72.3,
Apr 2020,98.4,63.9,84.6,62.9,94.6,69.3,
May 2020,107.3,66.5,94.8,67.2,98.5,69.5,
Jun 2020,127.2,84.8,118.6,86.7,110.7,81.8,
Jul 2020,138.9,92.5,137.7,93.0,117.1,79.5,
Aug 2020,128.9,90.2,121.5,91.3,111.2,78.9,
Sep 2020,136.3,95.0,124.5,93.2,121.1,78.6,
Oct 2020,135.9,95.5,130.5,99.5,120.8,80.7,
Nov 2020,123.1,79.6,116.7,86.3,99.8,75.6,
Dec 2020,137.0,88.6,114.5,89.1,130.5,92.0,
Jan 2021,131.9,84.1,113.8,76.6,93.7,72.2,
Feb 2021,122.5,81.4,101.3,73.9,94.6,72.5,
Mar 2021,160.3,111.3,138.9,101.1,120.5,83.9,
Apr 2021,160.6,108.4,134.5,96.2,112.4,78.9,
May 2021,144.5,99.7,144.5,99.4,112.0,80.3,
Jun 2021,156.8,105.8,152.7,110.1,115.9,80.9,
Jul 2021,141.1,92.6,142.1,102.8,121.4,78.5,
Aug 2021,156.8,94.2,138.7,96.6,117.6,83.0,
Sep 2021,136.2,88.2,134.3,92.9,103.0,79.0,
Oct 2021,137.7,86.4,132.2,90.3,110.8,83.0,
Nov 2021,133.4,81.1,130.0,90.5,111.7,78.2,
Dec 2021,155.3,82.1,123.4,82.5,127.3,99.2,
Jan 2022,134.3,84.3,120.3,80.9,87.1,65.6,
Feb 2022,133.7,88.1,125.0,83.8,98.6,78.6,
Mar 2022,172.1,108.7,141.8,99.4,112.7,87.9,
Apr 2022,159.7,99.5,163.7,109.1,107.4,81.2,
May 2022,152.2,96.7,139.4,95.5,120.9,87.1,
Jun 2022,161.1,92.9,143.9,95.9,122.4,87.5,
Jul 2022,138.1,76.8,122.8,82.3,123.5,82.9,
Aug 2022,142.8,82.3,133.5,81.5,122.2,90.0,
Sep 2022,133.3,72.0,126.7,75.3,120.4,88.5,
Oct 2022,124.5,67.0,121.2,71.9,118.1,84.7,
Nov 2022,105.6,56.5,110.6,59.5,125.1,91.3,
Dec 2022,107.8,51.0,93.9,60.2,132.0,96.8,
Jan 2023,101.0,53.1,97.2,57.3,94.8,71.0,
Feb 2023,110.9,58.7,102.7,58.5,111.7,76.9,
Mar 2023,131.3,79.4,113.3,70.8,126.4,87.2,
Apr 2023,117.6,75.1,121.6,78.7,111.3,77.4,
May 2023,139.6,88.9,145.8,92.3,129.6,84.4,
Jun 2023,135.7,91.0,132.2,89.4,131.1,87.2,
Jul 2023,118.7,77.8,131.3,91.7,115.7,83.0,
Aug 2023,141.8,88.3,115.4,84.3,122.1,82.4,
Sep 2023,116.7,76.5,116.6,82.5,123.0,83.8,
Oct 2023,125.3,79.8,114.7,80.8,118.6,85.2,
Nov 2023,108.8,69.6,117.0,84.3,116.4,79.1,
Dec 2023,104.9,64.9,100.0,68.7,151.8,104.8,
