year,mo,region,extent,area
1991,11,      S,15.58,11.46
1991,12,      S,10.19,6.8
1992,1,      S,4.75,3.24
1992,2,      S,2.84,1.86
1992,3,      S,3.57,2.47
1992,4,      S,6.79,5
1992,5,      S,9.92,7.62
1992,6,      S,12.81,10
1992,7,      S,15.89,12.58
1992,8,      S,17.73,14.17
1992,9,      S,18.15,14.13
1992,10,      S,17.93,13.85
1992,11,      S,15.9,11.2
1992,12,      S,10.21,6.18
1993,1,      S,4.41,2.55
1993,2,      S,2.48,1.37
1993,3,      S,3.67,2.24
1993,4,      S,6.65,4.9
1993,5,      S,10.1,7.89
1993,6,      S,13.15,10.37
1993,7,      S,15.85,12.72
1993,8,      S,17.49,13.93
1993,9,      S,18.54,14.7
1993,10,      S,18.13,14.17
1993,11,      S,16.04,11.83
1993,12,      S,9.93,6.67
1994,1,      S,4.97,3.37
1994,2,      S,3.2,2.22
1994,3,      S,4.55,3.2
1994,4,      S,7.22,5.45
1994,5,      S,10.41,8.21
1994,6,      S,13.56,10.73
1994,7,      S,16.3,13.12
1994,8,      S,17.84,14.49
1994,9,      S,18.61,14.61
1994,10,      S,18.09,14.07
1994,11,      S,15.88,11.78
1994,12,      S,10.1,7.11
1995,1,      S,5.64,3.73
1995,2,      S,3.56,2.19
1995,3,      S,4.63,3.01
1995,4,      S,7.27,5.4
1995,5,      S,10.42,8.19
1995,6,      S,13.29,10.46
1995,7,      S,15.74,12.53
1995,8,      S,17.78,14.2
1995,9,      S,18.37,14.46
1995,10,      S,18.03,13.57
1995,11,      S,15.63,11.49
1995,12,      S,10.62,7.19
1996,1,      S,5.87,3.55
1996,2,      S,2.98,1.77
1996,3,      S,4.18,2.65
1996,4,      S,7.28,5.37
1996,5,      S,10.92,8.65
1996,6,      S,13.87,11.09
1996,7,      S,16.12,12.89
1996,8,      S,17.74,13.9
1996,9,      S,18.63,14.54
1996,10,      S,17.96,13.94
1996,11,      S,15.72,11.24
1996,12,      S,9.65,6.24
1997,1,      S,4.2,2.77
1997,2,      S,2.49,1.72
1997,3,      S,3.46,2.3
1997,4,      S,6.49,4.84
1997,5,      S,10.12,7.91
1997,6,      S,13.12,10.22
1997,7,      S,15.92,12.75
1997,8,      S,17.68,14.09
1997,9,      S,18.6,14.59
1997,10,      S,17.99,14.12
1997,11,      S,15.73,11.59
1997,12,      S,10.29,6.99
1998,1,      S,4.46,3.04
1998,2,      S,2.99,1.87
1998,3,      S,4.11,2.71
1998,4,      S,6.85,5.12
1998,5,      S,10.33,7.91
1998,6,      S,13.31,10.34
1998,7,      S,15.96,12.66
1998,8,      S,17.88,14.06
1998,9,      S,18.9,14.84
1998,10,      S,18.66,14.54
1998,11,      S,16.3,11.88
1998,12,      S,10.52,6.8
1999,1,      S,4.82,3.11
1999,2,      S,2.97,1.77
1999,3,      S,3.98,2.58
1999,4,      S,6.89,5.13
1999,5,      S,10.27,8.07
1999,6,      S,13.65,10.83
1999,7,      S,16.28,13.06
1999,8,      S,17.96,14.24
1999,9,      S,18.7,14.62
1999,10,      S,18.35,14.23
1999,11,      S,15.96,11.51
1999,12,      S,10.72,6.8
2000,1,      S,4.75,2.92
2000,2,      S,2.91,1.72
2000,3,      S,4.09,2.67
2000,4,      S,7.13,5.31
2000,5,      S,10.92,8.56
2000,6,      S,13.89,11.04
2000,7,      S,16.1,12.99
2000,8,      S,18.21,14.64
2000,9,      S,18.89,15.07
2000,10,      S,18.13,14.26
2000,11,      S,15.76,11.81
2000,12,      S,9.91,6.95
2001,1,      S,5.23,3.64
2001,2,      S,3.65,2.44
2001,3,      S,4.73,3.36
2001,4,      S,7.04,5.3
2001,5,      S,10.33,8
2001,6,      S,13.42,10.56
2001,7,      S,15.85,12.58
2001,8,      S,17.42,13.75
2001,9,      S,18.17,14.36
2001,10,      S,17.73,13.34
2001,11,      S,15.61,11
2001,12,      S,10.35,6.36
2002,1,      S,4.74,2.95
2002,2,      S,2.96,1.82
2002,3,      S,3.75,2.36
2002,4,      S,6.33,4.59
2002,5,      S,9.51,7.18
2002,6,      S,12.38,9.7
2002,7,      S,15.41,12.52
2002,8,      S,17.07,13.74
2002,9,      S,17.89,14.1
2002,10,      S,17.87,13.82
2002,11,      S,15.41,11.67
2002,12,      S,10.79,7.61
2003,1,      S,5.77,4.11
2003,2,      S,3.79,2.66
2003,3,      S,4.44,3.24
2003,4,      S,7.21,5.56
2003,5,      S,10.74,8.45
2003,6,      S,13.99,11.16
2003,7,      S,16.4,13.17
2003,8,      S,17.58,13.77
2003,9,      S,18.3,14.14
2003,10,      S,18.2,13.87
2003,11,      S,16.11,11.47
2003,12,      S,10.56,7.2
2004,1,      S,5.59,3.8
2004,2,      S,3.58,2.36
2004,3,      S,4.53,3.16
2004,4,      S,7.28,5.39
2004,5,      S,10.47,8.19
2004,6,      S,13.78,10.89
2004,7,      S,16.33,13.16
2004,8,      S,18.01,14.23
2004,9,      S,18.92,14.59
2004,10,      S,18.46,14.12
2004,11,      S,16.08,11.75
2004,12,      S,10.23,6.93
2005,1,      S,4.75,3.18
2005,2,      S,2.97,1.97
2005,3,      S,4.08,2.73
2005,4,      S,7.03,5.19
2005,5,      S,10.29,7.96
2005,6,      S,13.29,10.31
2005,7,      S,16.16,12.72
2005,8,      S,17.92,13.95
2005,9,      S,18.8,14.85
2005,10,      S,18.48,14.04
2005,11,      S,16.32,11.8
2005,12,      S,9.68,6.33
2006,1,      S,4.16,2.81
2006,2,      S,2.65,1.76
2006,3,      S,3.21,2.01
2006,4,      S,6.01,4.28
2006,5,      S,9.46,7.2
2006,6,      S,13.34,10.58
2006,7,      S,16.11,12.88
2006,8,      S,18.1,14.54
2006,9,      S,19.09,15.18
2006,10,      S,18.73,14.68
2006,11,      S,16.23,11.61
2006,12,      S,9.85,6.48
2007,1,      S,4.67,3
2007,2,      S,2.9,1.94
2007,3,      S,3.83,2.54
2007,4,      S,6.42,4.7
2007,5,      S,9.65,7.54
2007,6,      S,13.29,10.48
2007,7,      S,15.96,12.61
2007,8,      S,17.68,14.03
2007,9,      S,18.86,15.39
2007,10,      S,18.51,14.59
2007,11,      S,15.89,12.16
2007,12,      S,11.98,8.38
2008,1,      S,6.41,4.07
2008,2,      S,3.89,2.4
2008,3,      S,5.28,3.68
2008,4,      S,8.24,6.23
2008,5,      S,11.05,8.6
2008,6,      S,14.06,11.4
2008,7,      S,16.09,12.95
2008,8,      S,17.64,14.13
2008,9,      S,18.15,14.39
2008,10,      S,17.99,14.12
2008,11,      S,16.25,12.01
2008,12,      S,11.51,7.39
2009,1,      S,5.71,3.5
2009,2,      S,2.99,1.97
2009,3,      S,4.44,3.02
2009,4,      S,7.8,5.96
2009,5,      S,10.93,8.46
2009,6,      S,13.91,11.09
2009,7,      S,16.26,13.09
2009,8,      S,18.1,14.45
2009,9,      S,18.96,15.08
2009,10,      S,18.3,14.35
2009,11,      S,15.85,11.8
2009,12,      S,10.74,7.09
2010,1,      S,4.96,3.33
2010,2,      S,3.11,2.11
2010,3,      S,3.85,2.66
2010,4,      S,6.72,5
2010,5,      S,10.64,8.33
2010,6,      S,14.41,11.65
2010,7,      S,16.92,13.74
2010,8,      S,18.61,14.95
2010,9,      S,18.8,14.43
2010,10,      S,18.65,14.41
2010,11,      S,16.75,11.92
2010,12,      S,11.27,6.94
2011,1,      S,4.51,3.05
2011,2,      S,2.52,1.86
2011,3,      S,3.37,2.26
2011,4,      S,6.1,4.39
2011,5,      S,10.09,7.85
2011,6,      S,13.33,10.54
2011,7,      S,15.75,12.34
2011,8,      S,17.81,14.04
2011,9,      S,18.74,14.57
2011,10,      S,18.22,14.23
2011,11,      S,15.76,11.77
2011,12,      S,11.2,7.4
2012,1,      S,5.65,3.71
2012,2,      S,3.55,2.19
2012,3,      S,4.55,2.91
2012,4,      S,7.31,5.55
2012,5,      S,10.46,8.15
2012,6,      S,13.55,10.79
2012,7,      S,16.3,13.31
2012,8,      S,18.1,14.56
2012,9,      S,19.21,15.41
2012,10,      S,18.59,14.45
2012,11,      S,16.11,12.07
2012,12,      S,10.39,7.38
2013,1,      S,5.54,3.94
2013,2,      S,3.84,2.58
2013,3,      S,5.02,3.49
2013,4,      S,7.62,5.75
2013,5,      S,10.92,8.49
2013,6,      S,14.15,11.27
